feature,importance
OfficialEventName_FORMULA 1 GRAND PRIX DE MONACO 2023,0.0
OfficialEventName_FORMULA 1 GRAND PRIX DE MONACO 2024,0.0
FP2_Driver_NOR,0.0
OfficialEventName_FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,0.0
FP2_Driver_RIC,0.0
OfficialEventName_FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,0.0
OfficialEventName_FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 ,0.0
OfficialEventName_FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,0.0
OfficialEventName_FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 HUNGARIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,0.0
FP3_Driver_ANT,0.0
FP3_Driver_BEA,0.0
FP3_Driver_BOR,0.0
FP3_Driver_COL,0.0
FP3_Driver_DEV,0.0
FP3_Driver_DOO,0.0
OfficialEventName_FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,0.0
FP3_Driver_HAD,0.0
OfficialEventName_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,0.0
FP3_Driver_LAW,0.0
OfficialEventName_FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,0.0
OfficialEventName_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,0.0
FP3_Driver_NOR,0.0
OfficialEventName_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,0.0
Location_Shanghai,0.0
